id,key,value,type
120260900,NHS,yes,regular
120260900,hgv,designated,regular
120260900,national_network,yes,hgv
120260900,highway,primary,regular
120260900,lanes,2;3,regular
120260900,name,South Cumberland Street,regular
120260900,nat_ref,US 231,regular
120260900,lanes,"1 northbound, 2 southbound",note
120260900,postal_code,37087,regular
120260900,ref,US 231,regular
120260900,hgv:national_network,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,source
120260900,surface,asphalt,regular
120260900,cfcc,A21,tiger
120260900,county,Wilson,tiger
120260900,name_base,Cumberland,tiger
120260900,name_base_1,United States Highway 231,tiger
120260900,name_base_2,State Highway 10,tiger
120260900,name_direction_prefix,S,tiger
120260900,name_type,St,tiger
120260900,reviewed,yes,tiger
120260900,zip_left,37087,tiger
120260900,zip_right,37087,tiger
120260900,unsigned_ref,SR 10,regular
19440643,highway,residential,regular
19440643,name,Strombury Drive,regular
19440643,cfcc,A41,tiger
19440643,county,Davidson,tiger
19440643,name_base,Strombury,tiger
19440643,name_type,Dr,tiger
19440643,reviewed,no,tiger
19440643,zip_left,37076,tiger
19440643,zip_right,37076,tiger
19440719,highway,residential,regular
19440719,name,Belgium Court,regular
19440719,cfcc,A41,tiger
19440719,county,Davidson,tiger
19440719,name_base,Belgium,tiger
19440719,name_type,Ct,tiger
19440719,reviewed,no,tiger
19440719,zip_left,37076,tiger
19440719,zip_right,37076,tiger
19440758,highway,residential,regular
19440758,cfcc,A41,tiger
19440758,county,Davidson,tiger
19440758,reviewed,no,tiger
19440763,highway,residential,regular
19440763,cfcc,A41,tiger
19440763,county,Davidson,tiger
19440763,reviewed,no,tiger
19440767,highway,residential,regular
19440767,name,Moonwater Court,regular
19440767,cfcc,A41,tiger
19440767,county,Davidson,tiger
19440767,reviewed,no,tiger
19440770,highway,residential,regular
19440770,name,Annapolis Circle,regular
19440770,cfcc,A41,tiger
19440770,county,Davidson,tiger
19440770,reviewed,no,tiger
19441226,highway,service,regular
19441226,cfcc,A41,tiger
19441226,county,Davidson,tiger
19441226,reviewed,no,tiger
19441311,highway,residential,regular
19441311,cfcc,A41,tiger
